상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0082752,엠마스키친,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,41,경기도,41465,용인시 수지구,41465590,성복동,4146510600,성복동,4.14651E+18,1,대지,516,3,경기도 용인시 수지구 성복동 516-3,4.14653E+11,경기도 용인시 수지구 성복2로,270,null,4.14651E+24,,경기도 용인시 수지구 성복2로 270,448831,16806,,,,127.0582289,37.31916439
MA0101202210A0004063,팽성농산물센터,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",41,경기도,41220,평택시,41220250,팽성읍,4122025039,팽성읍,4.12203E+18,1,대지,93,1,경기도 평택시 팽성읍 석근리 93-1,4.12204E+11,경기도 평택시 팽성읍 석근2길,36,null,4.12203E+24,,경기도 평택시 팽성읍 석근2길 36,451803,17997,,,,127.0480753,36.93633588
MA0101202210A0089792,역전할머니맥주평택궁리점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41220,평택시,41220330,고덕면,4122033026,고덕면,4.12203E+18,1,대지,72,11,경기도 평택시 고덕면 궁리 72-11,4.12204E+11,경기도 평택시 고덕면 궁2길,67,null,4.12203E+24,,경기도 평택시 고덕면 궁2길 67,451841,17821,,,,127.0343809,37.01803922
MA0101202210A0101847,지제역부동산마트공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,41,경기도,41220,평택시,41220650,동삭동,4122011900,동삭동,4.12201E+18,1,대지,386,23,경기도 평택시 동삭동 386-23,4.12203E+11,경기도 평택시 지제동삭2로,181,24,4.12201E+24,,경기도 평택시 지제동삭2로 181-24,450802,18029,,1,,127.0938317,37.01683196
MA0101202210A0050965,혜윰건축사사무소,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,41,경기도,41271,안산시 상록구,41271510,일동,4127110100,일동,4.12711E+18,1,대지,624,12,경기도 안산시 상록구 일동 624-12,4.12714E+11,경기도 안산시 상록구 웃말5길,9,1,4.12711E+24,고요한정원,경기도 안산시 상록구 웃말5길 9-1,426860,15328,,,,126.8710457,37.30618207
MA0101202210A0067941,양촌리민물장어,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56111,한식 일반 음식점업,41,경기도,41480,파주시,41480570,운정3동,4148010800,야당동,4.14801E+18,1,대지,920,null,경기도 파주시 야당동 920,4.14803E+11,경기도 파주시 경의로,968,null,4.14801E+24,,경기도 파주시 경의로 968,413200,10906,,,,126.7597475,37.70380206
MA0101202210A0067942,에프엠카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41190,부천시,41190742,신중동,4119010800,중동,4.11901E+18,1,대지,1151,4,경기도 부천시 중동 1151-4,4.11904E+11,경기도 부천시 중동로248번길,31,null,4.11951E+24,이스트타워투,경기도 부천시 중동로248번길 31,420852,14548,,,,126.770369,37.50179662
MA0101202210A0068914,카이로스라운지역동점,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41610,광주시,41610510,경안동,4161011200,역동,4.16101E+18,1,대지,8,19,경기도 광주시 역동 8-19,4.16103E+11,경기도 광주시 중앙로,95,5,4.16101E+24,성환빌딩,경기도 광주시 중앙로 95-5,464807,12759,,8,,127.2583068,37.40813748
MA0101202210A0072309,디자인올타,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,41,경기도,41133,성남시 중원구,41133570,상대원1동,4113310500,상대원동,4.11331E+18,1,대지,5460,null,경기도 성남시 중원구 상대원동 5460,4.11334E+11,경기도 성남시 중원구 갈마치로288번길,14,null,4.11331E+24,성남SKV1TOWER,경기도 성남시 중원구 갈마치로288번길 14,462121,13201,,,,127.1738417,37.43950257
MA0101202210A0083536,좋아좋아메들리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41190,부천시,41190603,심곡동,4119010200,심곡동,4.11901E+18,1,대지,388,11,경기도 부천시 심곡동 388-11,4.11904E+11,경기도 부천시 신흥로16번길,59,null,4.11951E+24,,경기도 부천시 신흥로16번길 59,420827,14636,,1,,126.7798074,37.48472976
