상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0010139,카라노래주점,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56211,일반 유흥 주점업,48,경상남도,48250,김해시,48250620,장유2동,4825012900,대청동,4.82501E+18,1,대지,64,6,경상남도 김해시 대청동 64-6,4.82505E+11,경상남도 김해시 번화1로76번길,15,null,4.82503E+24,,경상남도 김해시 번화1로76번길 15,621280,50989,,null,,128.8012482,35.19472357
MA0101202210A0087932,원탑공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,48,경상남도,48129,창원시 진해구,48129580,석동,4812914000,석동,4.81291E+18,1,대지,186,4,경상남도 창원시 진해구 석동 186-4,4.81295E+11,경상남도 창원시 진해구 석동로30번길,10,null,4.81291E+24,,경상남도 창원시 진해구 석동로30번길 10,645280,51660,,1,,128.7026134,35.15360029
MA0101202210A0091348,아이에프엠,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,48,경상남도,48127,창원시 마산회원구,48127560,양덕1동,4812710500,양덕동,4.81271E+18,1,대지,15,27,경상남도 창원시 마산회원구 양덕동 15-27,4.81275E+11,경상남도 창원시 마산회원구 양덕북12길,113,null,4.81271E+24,경민인터빌,경상남도 창원시 마산회원구 양덕북12길 113,630810,51364,,1,,128.5838459,35.23191545
MA010120220805430827,부림옷수선,,S2,수리·개인,S206,기타 가정용품 수리,S20601,의류/이불 수선업,S95391,의복 및 기타 가정용 직물제품 수리업,48,경상남도,48125,창원시 마산합포구,48125630,오동동,4812511700,부림동,4.81251E+18,1,대지,32,1,경상남도 창원시 마산합포구 부림동 32-1,4.81252E+11,경상남도 창원시 마산합포구 315대로,352,null,4.81251E+24,부림상가,경상남도 창원시 마산합포구 315대로 352,631859,51730,,2,,128.573478,35.20579678
MA010120220805430854,성모쑥뜸방,,Q1,보건의료,Q104,기타 보건,Q10402,유사 의료업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,48,경상남도,48170,진주시,48170555,성북동,4817011300,봉곡동,4.81701E+18,1,대지,10,9,경상남도 진주시 봉곡동 10-9,4.81703E+11,경상남도 진주시 진주성로,74,1,4.81701E+24,,경상남도 진주시 진주성로 74-1,660040,52749,,2,,128.0766489,35.19631323
MA010120220805431115,진주기원,,R1,예술·스포츠,R104,유원지·오락,R10414,바둑/장기/체스 경기 운영업,R91293,기원 운영업,48,경상남도,48170,진주시,48170678,하대동,4817012000,하대동,4.81701E+18,1,대지,108,9,경상남도 진주시 하대동 108-9,4.81703E+11,경상남도 진주시 모덕로,288,1,4.81701E+24,,경상남도 진주시 모덕로 288-1,660995,52778,,null,,128.1255717,35.18889862
MA010120220805431207,일로딜로,,G2,소매,G209,섬유·의복·신발 소매,G20903,유아용 의류 소매업,G47417,유아용 의류 소매업,48,경상남도,48121,창원시 의창구,48121520,팔룡동,4812112900,팔용동,4.81211E+18,1,대지,30,1,경상남도 창원시 의창구 팔용동 30-1,4.81215E+11,경상남도 창원시 의창구 창원대로397번길,6,null,4.81211E+24,뉴코아아울렛,경상남도 창원시 의창구 창원대로397번길 6,641847,51393,,4,,128.6422143,35.23452241
MA010120220805431284,우포굴렁쇠,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,48,경상남도,48740,창녕군,48740330,대합면,4874033026,대합면,4.87403E+18,1,대지,448,null,경상남도 창녕군 대합면 주매리 448,4.87405E+11,경상남도 창녕군 대합면 임불길,34,5,4.87403E+24,,경상남도 창녕군 대합면 임불길 34-5,635943,50309,,null,,128.4205468,35.56922075
MA010120220805431504,종로할머니칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56194,김밥 및 기타 간이 음식점업,48,경상남도,48123,창원시 성산구,48123560,성주동,4812310600,남산동,4.81231E+18,1,대지,601,4,경상남도 창원시 성산구 남산동 601-4,4.81235E+11,경상남도 창원시 성산구 정동로162번길,49,null,4.81231E+24,한양아파트,경상남도 창원시 성산구 정동로162번길 49,642120,51536,,1,,128.69582,35.2026226
MA010120220805431535,오미당꽈배기,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,48,경상남도,48250,김해시,48250630,장유3동,4825013200,장유동,4.82501E+18,1,대지,826,4,경상남도 김해시 장유동 826-4,4.82503E+11,경상남도 김해시 율하6로,56,null,4.82501E+24,,경상남도 김해시 율하6로 56,621340,51020,,1,,128.8241322,35.17183647
