상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0005373,뷰티하우스아이엘,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,47,경상북도,47113,포항시 북구,47113700,장량동,4711312100,장성동,4.71131E+18,1,대지,1388,14,경상북도 포항시 북구 장성동 1388-14,4.71135E+11,경상북도 포항시 북구 장량로61번길,54,null,4.71131E+24,,경상북도 포항시 북구 장량로61번길 54,791851,37580,,1,,129.3884356,36.08715041
MA0101202210A0092820,호식이두마리치킨하양동서점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,47,경상북도,47290,경산시,47290250,하양읍,4729025022,하양읍,4.72903E+18,1,대지,740,1,경상북도 경산시 하양읍 동서리 740-1,4.72903E+11,경상북도 경산시 하양읍 하양로,202,10,4.72903E+24,,경상북도 경산시 하양읍 하양로 202-10,712908,38416,,null,,128.8277223,35.91671939
MA0101202210A0101448,수니한우소머리국밥,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,47,경상북도,47190,구미시,47190590,신평1동,4719011100,신평동,4.71901E+18,1,대지,168,29,경상북도 구미시 신평동 168-29,4.71905E+11,경상북도 구미시 신비로4길,20,20,4.71901E+24,,경상북도 구미시 신비로4길 20-20,730916,39252,,1,,128.3635932,36.12108628
MA0101202210A0074731,유리네벌교꼬막판매,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",47,경상북도,47170,안동시,47170555,용상동,4717011000,용상동,4.71701E+18,1,대지,1610,6,경상북도 안동시 용상동 1610-6,4.71705E+11,경상북도 안동시 전거리2길,37,null,4.71701E+24,,경상북도 안동시 전거리2길 37,760903,36715,,null,,128.7458413,36.55975395
MA0101202210A0093330,두리방,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47770,영덕군,47770250,영덕읍,4777025024,영덕읍,4.77703E+18,1,대지,152,9,경상북도 영덕군 영덕읍 덕곡리 152-9,4.77705E+11,경상북도 영덕군 영덕읍 중앙길,96,14,4.77703E+24,,경상북도 영덕군 영덕읍 중앙길 96-14,766804,36432,,1,,129.3701153,36.41152351
MA010120220805430931,나눔복지용구,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,47,경상북도,47150,김천시,47150565,양금동,4715010700,황금동,4.71501E+18,1,대지,102,5,경상북도 김천시 황금동 102-5,4.71503E+11,경상북도 김천시 양금로,227,null,4.71501E+24,,경상북도 김천시 양금로 227,740070,39616,,2,,128.1235964,36.11456215
MA010120220805431246,바이영,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,N74211,건축물 일반 청소업,47,경상북도,47170,안동시,47170650,옥동,4717013300,옥동,4.71701E+18,1,대지,619,12,경상북도 안동시 옥동 619-12,4.71703E+11,경상북도 안동시 광명로,212,10,4.71701E+24,금잔디어린이집,경상북도 안동시 광명로 212-10,760310,36665,,5,,128.7059692,36.56319599
MA010120220805431394,룩슬리아,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,47,경상북도,47850,칠곡군,47850250,왜관읍,4785025029,왜관읍,4.78503E+18,1,대지,200,1,경상북도 칠곡군 왜관읍 아곡리 200-1,4.78505E+11,경상북도 칠곡군 왜관읍 아곡8길,10,1,4.78503E+24,,경상북도 칠곡군 왜관읍 아곡8길 10-1,718803,39870,,null,,128.432139,36.01829079
MA010120220805431546,남산골,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47290,경산시,47290550,북부동,4729011200,대평동,4.72901E+18,1,대지,434,7,경상북도 경산시 대평동 434-7,4.72905E+11,경상북도 경산시 경안로67길,1,11,4.72901E+24,,경상북도 경산시 경안로67길 1-11,712130,38503,,1,,128.7332635,35.83601692
MA010120220805431762,씨엘,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,47,경상북도,47130,경주시,47130256,건천읍,4713025631,건천읍,4.71303E+18,1,대지,268,7,경상북도 경주시 건천읍 건천리 268-7,4.71303E+11,경상북도 경주시 건천읍 내서로,1110,null,4.71303E+24,,경상북도 경주시 건천읍 내서로 1110,780901,38178,,1,,129.1029248,35.84973167
