상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0085370,수헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,29,광주광역시,29170,북구,29170590,용봉동,2917010700,용봉동,2.91701E+18,1,대지,405,null,광주광역시 북구 용봉동 405,2.91703E+11,광주광역시 북구 반룡로,57,null,2.91701E+24,용봉동유창하이리빙맨션,광주광역시 북구 반룡로 57,500843,61182,,1,,126.9044201,35.17869042
MA0101202210A0040614,몰카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,29,광주광역시,29200,광산구,29200620,비아동,2920011300,도천동,2.92001E+18,1,대지,380,2,광주광역시 광산구 도천동 380-2,2.92003E+11,광주광역시 광산구 사암로,790,null,2.92001E+24,,광주광역시 광산구 사암로 790,506300,62244,,null,,126.8186635,35.21304696
MA0101202210A0081304,명품고로케NO.1,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,29,광주광역시,29200,광산구,29200565,어룡동,2920010800,소촌동,2.92001E+18,1,대지,287,5,광주광역시 광산구 소촌동 287-5,2.92004E+11,광주광역시 광산구 소촌로86번길,11,null,2.92001E+24,,광주광역시 광산구 소촌로86번길 11,506802,62385,,1,,126.7942448,35.15231507
MA0101202210A0051646,엄마손팥죽,,I2,음식,I201,한식,I20101,백반/한정식,I56194,김밥 및 기타 간이 음식점업,29,광주광역시,29155,남구,29155705,진월동,2915510800,진월동,2.91551E+18,1,대지,369,2,광주광역시 남구 진월동 369-2,2.91553E+11,광주광역시 남구 금당로,47,null,2.91551E+24,철물전기,광주광역시 남구 금당로 47,503842,61735,,1,,126.8957124,35.12113879
MA010120220805431082,여유드림24시무인셀프빨래방소태점,,S2,수리·개인,S209,세탁,S20902,셀프 빨래방,S96912,가정용 세탁업,29,광주광역시,29110,동구,29110730,지원1동,2911011900,소태동,2.91101E+18,1,대지,617,3,광주광역시 동구 소태동 617-3,2.91103E+11,광주광역시 동구 학소로,73,null,2.91101E+24,,광주광역시 동구 학소로 73,501828,61500,,1,,126.9341093,35.12628697
MA010120220805431412,소보쿠,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,29,광주광역시,29110,동구,29110545,동명동,2911010800,동명동,2.91101E+18,1,대지,135,18,광주광역시 동구 동명동 135-18,2.91103E+11,광주광역시 동구 장동로,51,1,2.91101E+24,,광주광역시 동구 장동로 51-1,501813,61436,,null,,126.9272521,35.1471929
MA010120220805431503,인쌩맥주문화전당점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,29,광주광역시,29110,동구,29110655,서남동,2911011300,광산동,2.91101E+18,1,대지,60,2,광주광역시 동구 광산동 60-2,2.91104E+11,광주광역시 동구 문화전당로35번길,13,null,2.91101E+24,유니버스2,광주광역시 동구 문화전당로35번길 13,501180,61487,,1,,126.9176856,35.14529603
MA010120220805431475,덕영ENG,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,29,광주광역시,29170,북구,29170662,두암2동,2917011400,두암동,2.91701E+18,1,대지,585,33,광주광역시 북구 두암동 585-33,2.91704E+11,광주광역시 북구 두리봉길6번길,1,null,2.91701E+24,,광주광역시 북구 두리봉길6번길 1,500812,61167,,1,,126.9315043,35.17617413
MA010120220805431731,패밀리통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,29,광주광역시,29155,남구,29155537,봉선1동,2915511500,봉선동,2.91551E+18,1,대지,1113,1,광주광역시 남구 봉선동 1113-1,2.91552E+11,광주광역시 남구 대남대로,163,null,2.91551E+24,,광주광역시 남구 대남대로 163,503061,61688,,1,,126.9071333,35.13344717
MA010120220805431821,춤추는오돌뼈,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,29,광주광역시,29155,남구,29155537,봉선1동,2915511500,봉선동,2.91551E+18,1,대지,1116,19,광주광역시 남구 봉선동 1116-19,2.91554E+11,광주광역시 남구 봉선중앙로123번길,32,null,2.91551E+24,,광주광역시 남구 봉선중앙로123번길 32,503061,61688,,1,,126.9071653,35.13187002
