상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0034750,더벤티대구,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,27,대구광역시,27140,동구,27140520,신암2동,2714010100,신암동,2.71401E+18,1,대지,498,7,대구광역시 동구 신암동 498-7,2.71403E+11,대구광역시 동구 신암로,120,null,2.71401E+24,,대구광역시 동구 신암로 120,701818,41200,,1,,128.612479,35.88049744
MA0101202210A0003881,엉클몽키테니스,,R1,예술·스포츠,R103,스포츠 서비스,R10312,테니스장,R91199,그 외 기타 스포츠 서비스업,27,대구광역시,27290,달서구,27290625,상인2동,2729011500,상인동,2.72901E+18,1,대지,1445,4,대구광역시 달서구 상인동 1445-4,2.72904E+11,대구광역시 달서구 상원로11길,36,null,2.72901E+24,,대구광역시 달서구 상원로11길 36,704817,42790,,2,,128.5355886,35.81359873
MA0101202210A0090318,아보카,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,27,대구광역시,27290,달서구,27290628,도원동,2729011600,도원동,2.72901E+18,1,대지,1010,null,대구광역시 달서구 도원동 1010,2.72905E+11,대구광역시 달서구 수밭동길,34,null,2.72901E+24,,대구광역시 달서구 수밭동길 34,704802,42835,,1,,128.5497495,35.79544503
MA0101202210A0101134,무아브로우,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,27,대구광역시,27110,중구,27110640,남산1동,2711015600,남산동,2.71102E+18,1,대지,917,8,대구광역시 중구 남산동 917-8,2.71104E+11,대구광역시 중구 명륜로23길,57,null,2.71102E+24,,대구광역시 중구 명륜로23길 57,700802,41957,,null,,128.5952888,35.86251235
MA0101202210A0055790,홍천뚝배기,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,27,대구광역시,27230,북구,27230630,산격3동,2723011100,산격동,2.72301E+18,1,대지,1313,null,대구광역시 북구 산격동 1313,2.72304E+11,대구광역시 북구 대동로6길,28,null,2.72301E+24,,대구광역시 북구 대동로6길 28,702842,41544,,2,,128.609366,35.89484423
MA010120220805430823,오느른케이크,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,27,대구광역시,27290,달서구,27290615,진천동,2729011700,진천동,2.72901E+18,1,대지,682,25,대구광역시 달서구 진천동 682-25,2.72904E+11,대구광역시 달서구 진천로9길,78,1,2.72901E+24,,대구광역시 달서구 진천로9길 78-1,704837,42771,,1,,128.5205847,35.81211434
MA010120220805430881,대은공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,27,대구광역시,27230,북구,27230790,노원동,2723010900,노원동3가,2.72301E+18,1,대지,1154,null,대구광역시 북구 노원동3가 1154,2.72303E+11,대구광역시 북구 오봉로,83,null,2.72301E+24,,대구광역시 북구 오봉로 83,702818,41555,,null,,128.5779092,35.89514392
MA010120220805430943,모텔탑,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,27,대구광역시,27140,동구,27140760,공산동,2714014200,중대동,2.71401E+18,1,대지,37,5,대구광역시 동구 중대동 37-5,2.71404E+11,대구광역시 동구 파계로138길,40,null,2.71401E+24,,대구광역시 동구 파계로138길 40,701500,41001,,null,,128.6397512,35.99257735
MA010120220805431407,별빛수선,,S2,수리·개인,S206,기타 가정용품 수리,S20601,의류/이불 수선업,S95391,의복 및 기타 가정용 직물제품 수리업,27,대구광역시,27710,달성군,27710380,구지면,2771038022,구지면,2.77104E+18,1,대지,1200,5,대구광역시 달성군 구지면 응암리 1200-5,2.77104E+11,대구광역시 달성군 구지면 과학마을로3길,13,null,2.77104E+24,,대구광역시 달성군 구지면 과학마을로3길 13,711891,43008,,null,,128.4189084,35.65707381
MA010120220805431434,쎈짐,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85611,태권도 및 무술 교육기관,27,대구광역시,27290,달서구,27290535,두류1.2동,2729010200,두류동,2.72901E+18,1,대지,100,10,대구광역시 달서구 두류동 100-10,2.72902E+11,대구광역시 달서구 달구벌대로,1826,null,2.72901E+24,,대구광역시 달서구 달구벌대로 1826,704909,42660,,null,,128.5645542,35.8598035
MA010120220805431497,자담치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,27,대구광역시,27230,북구,27230780,동천동,2723012400,동천동,2.72301E+18,1,대지,942,13,대구광역시 북구 동천동 942-13,2.72303E+11,대구광역시 북구 동천로,35,10,2.72301E+24,,대구광역시 북구 동천로 35-10,702886,41430,,1,,128.5581409,35.93520181
MA010120220805431924,샐러드SLB,,I2,음식,I210,기타 간이,I21003,피자,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",27,대구광역시,27260,수성구,27260690,고산3동,2726011800,신매동,2.72601E+18,1,대지,273,null,대구광역시 수성구 신매동 273,2.72604E+11,대구광역시 수성구 달구벌대로645길,11,null,2.72601E+24,신매동SNL메디타워,대구광역시 수성구 달구벌대로645길 11,706170,42271,,1,,128.7098021,35.84024977
MA010120220805431978,우아한조폭찜닭효목점,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,27,대구광역시,27140,동구,27140600,효목2동,2714010300,효목동,2.71401E+18,1,대지,460,2,대구광역시 동구 효목동 460-2,2.71404E+11,대구광역시 동구 효목로5길,12,null,2.71401E+24,,대구광역시 동구 효목로5길 12,701844,41237,,1,,128.6387089,35.87549371
MA010120220805431996,신흥카정비,,S2,수리·개인,S203,자동차 수리·세차,S20301,자동차 정비소,S95212,자동차 전문 수리업,27,대구광역시,27710,달성군,27710250,화원읍,2771025021,화원읍,2.77103E+18,1,대지,811,null,대구광역시 달성군 화원읍 천내리 811,2.77103E+11,대구광역시 달성군 화원읍 명천로,145,null,2.77103E+24,,대구광역시 달성군 화원읍 명천로 145,711836,42961,,null,,128.5025322,35.80087939
MA010120220805432038,용이반점,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,27,대구광역시,27710,달성군,27710253,논공읍,2771025328,논공읍,2.77103E+18,1,대지,1,106,대구광역시 달성군 논공읍 북리 1-106,2.77104E+11,대구광역시 달성군 논공읍 논공중앙로33길,11,null,2.77103E+24,,대구광역시 달성군 논공읍 논공중앙로33길 11,711857,42981,,1,,128.4526226,35.73070068
MA010120220805432110,다래미용실,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,27,대구광역시,27260,수성구,27260620,상동,2726010900,상동,2.72601E+18,1,대지,126,5,대구광역시 수성구 상동 126-5,2.72603E+11,대구광역시 수성구 상화로,29,null,2.72601E+24,,대구광역시 수성구 상화로 29,706828,42159,,null,,128.6102569,35.83479364
MA010120220805432371,옷이날개,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,27,대구광역시,27720,군위군,27720250,군위읍,2772025022,군위읍,2.77203E+18,1,대지,26,10,대구광역시 군위군 군위읍 서부리 26-10,2.77205E+11,대구광역시 군위군 군위읍 중앙길,110,null,4.77203E+24,,대구광역시 군위군 군위읍 중앙길 110,716804,43114,,null,,128.5676282,36.23801811
MA010120220805432373,후아유NC,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27230,북구,27230620,산격2동,2723011100,산격동,2.72301E+18,1,대지,1668,null,대구광역시 북구 산격동 1668,2.72304E+11,대구광역시 북구 유통단지로14길,22,null,2.72301E+24,일반의류관,대구광역시 북구 유통단지로14길 22,702716,41518,,2,,128.6103762,35.90523128
MA010120220805432383,온정백반,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,계산동2가,2.71101E+18,1,대지,138,1,대구광역시 중구 계산동2가 138-1,2.71104E+11,대구광역시 중구 약령길,34,null,2.71101E+24,,대구광역시 중구 약령길 34,700082,41933,,1,,128.5889061,35.86783457
MA010120220805434090,디얼.131,,G2,소매,G209,섬유·의복·신발 소매,G20903,유아용 의류 소매업,G47417,유아용 의류 소매업,27,대구광역시,27260,수성구,27260580,수성2.3가동,2726010500,수성동3가,2.72601E+18,1,대지,14,2,대구광역시 수성구 수성동3가 14-2,2.72603E+11,대구광역시 수성구 청솔로,135,null,2.72601E+24,,대구광역시 수성구 청솔로 135,706833,42115,,null,,128.6212467,35.8587396
MA010120220805433698,오브제투,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110595,대신동,2711015400,대신동,2.71102E+18,1,대지,115,30,대구광역시 중구 대신동 115-30,2.71104E+11,대구광역시 중구 큰장로26길,65,null,2.71102E+24,동산상가,대구광역시 중구 큰장로26길 65,700320,41926,,2,,128.5817278,35.86896916
MA010120220805433533,모도리랑,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,27,대구광역시,27260,수성구,27260670,고산1동,2726011800,신매동,2.72601E+18,1,대지,576,12,대구광역시 수성구 신매동 576-12,2.72604E+11,대구광역시 수성구 신매로16길,16,5,2.72601E+24,,대구광역시 수성구 신매로16길 16-5,706170,42275,,1,,128.7098408,35.83713999
MA010120220805433776,한국금은거래소,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,27,대구광역시,27140,동구,27140720,안심1동,2714011800,율하동,2.71401E+18,1,대지,1117,null,대구광역시 동구 율하동 1117,2.71403E+11,대구광역시 동구 안심로,80,null,2.71401E+24,롯데쇼핑프라자,대구광역시 동구 안심로 80,701847,41097,,1,,128.693344,35.86847601
MA010120220805433781,구피샵본리점,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,27,대구광역시,27290,달서구,27290590,본리동,2729011400,본리동,2.72901E+18,1,대지,62,21,대구광역시 달서구 본리동 62-21,2.72903E+11,대구광역시 달서구 장기로,195,null,2.72901E+24,,대구광역시 달서구 장기로 195,704912,42674,,1,,128.5390431,35.84335425
MA010120220805434044,내안에유산부인과,,Q1,보건의료,Q102,의원,Q10207,산부인과 의원,Q86201,일반의원,27,대구광역시,27290,달서구,27290601,월성1동,2729012000,월성동,2.72901E+18,1,대지,1840,null,대구광역시 달서구 월성동 1840,2.72903E+11,대구광역시 달서구 조암로,39,null,2.72901E+24,,대구광역시 달서구 조암로 39,704401,42757,,5,,128.5261751,35.82419491
