상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0009580,백파식당,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56111,한식 일반 음식점업,30,대전광역시,30170,서구,30170587,월평2동,3017011300,월평동,3.02E+18,1,대지,261,null,대전광역시 서구 월평동 261,3.02E+11,대전광역시 서구 청사로123번길,33,null,3.02E+24,,대전광역시 서구 청사로123번길 33,302847,35214,,1,,127.3772954,36.36130637
MA0101202210A0068117,줄또웰빙,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3.01E+18,1,대지,145,5,대전광역시 동구 용전동 145-5,3.01E+11,대전광역시 동구 동서대로,1641,null,3.01E+24,아남빌딩,대전광역시 동구 동서대로 1641,300726,34552,,8,,127.4327043,36.34809056
MA010120220805431091,정성약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,30,대전광역시,30140,중구,30140710,유천2동,3014011500,유천동,3.01E+18,1,대지,185,1,대전광역시 중구 유천동 185-1,3.01E+11,대전광역시 중구 계백로,1600,null,3.01E+24,,대전광역시 중구 계백로 1600,301833,34966,,null,,127.3978847,36.31822394
MA010120220805431125,다비치안경원,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,30,대전광역시,30110,동구,30110515,중앙동,3011012000,중동,3.01E+18,1,대지,92,1,대전광역시 동구 중동 92-1,3.01E+11,대전광역시 동구 중앙로,198,null,3.01E+24,,대전광역시 동구 중앙로 198,300160,34628,,1,,127.4311619,36.33039163
MA010120220805431202,베리도넛,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,30,대전광역시,30110,동구,30110515,중앙동,3011011300,소제동,3.01E+18,1,대지,299,86,대전광역시 동구 소제동 299-86,3.01E+11,대전광역시 동구 수향길,97,null,3.01E+24,,대전광역시 동구 수향길 97,300080,34615,,null,,127.4370815,36.33588126
MA010120220805431256,씨유,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,30,대전광역시,30170,서구,30170650,만년동,3017012800,만년동,3.02E+18,1,대지,213,null,대전광역시 서구 만년동 213,3.02E+11,대전광역시 서구 만년남로3번길,25,null,3.02E+24,,대전광역시 서구 만년남로3번길 25,302834,35200,,1,,127.3752242,36.36531512
MA010120220805431456,놀다방코인노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,30,대전광역시,30230,대덕구,30230533,비래동,3023011000,비래동,3.02E+18,1,대지,142,6,대전광역시 대덕구 비래동 142-6,3.02E+11,대전광역시 대덕구 비래서로,65,null,3.02E+24,,대전광역시 대덕구 비래서로 65,306828,34418,,2,,127.4515551,36.35441522
MA010120220805431483,초심대전둔산,,R1,예술·스포츠,R102,도서관·사적지,R10202,독서실/스터디 카페,R90212,독서실 운영업,30,대전광역시,30170,서구,30170555,탄방동,3017010600,탄방동,3.02E+18,1,대지,711,null,대전광역시 서구 탄방동 711,3.02E+11,대전광역시 서구 둔산남로,96,null,3.02E+24,E플러스빌딩,대전광역시 서구 둔산남로 96,302859,35260,,null,,127.3882581,36.34872749
MA010120220805431563,힐헤어끌림,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,30,대전광역시,30140,중구,30140560,중촌동,3014010400,중촌동,3.01E+18,1,대지,412,3,대전광역시 중구 중촌동 412-3,3.01E+11,대전광역시 중구 동서대로1421번길,43,null,3.01E+24,,대전광역시 중구 동서대로1421번길 43,301841,34814,,1,,127.4119582,36.33645426
MA010120220805431842,다솜,,S2,수리·개인,S211,기타 개인,S21105,결혼 상담 서비스업,S96994,결혼 상담 및 준비 서비스업,30,대전광역시,30140,중구,30140670,오류동,3014011300,오류동,3.01E+18,1,대지,154,4,대전광역시 중구 오류동 154-4,3.01E+11,대전광역시 중구 계백로,1719,null,3.01E+24,센트리아오피스텔,대전광역시 중구 계백로 1719,301739,34909,,null,,127.4104726,36.32220714
MA010120220805432049,속푸리해장국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,30,대전광역시,30170,서구,30170540,변동,3017010200,변동,3.02E+18,1,대지,56,8,대전광역시 서구 변동 56-8,3.02E+11,대전광역시 서구 도마로,45,null,3.02E+24,,대전광역시 서구 도마로 45,302837,35324,,1,,127.3752206,36.32253279
