상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0072343,선해횟집,,I2,음식,I201,한식,I20111,횟집,I56111,한식 일반 음식점업,26,부산광역시,26410,금정구,26410555,금사회동동,2641011100,금사동,2.64101E+18,1,대지,30,27,부산광역시 금정구 금사동 30-27,2.64104E+11,부산광역시 금정구 사천로3번길,2,null,2.64101E+24,,부산광역시 금정구 사천로3번길 2,609808,46264,,1,,129.1133211,35.22336331
MA010120220805430802,미즈노,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2.63501E+18,1,대지,1496,null,부산광역시 해운대구 우동 1496,2.63502E+11,부산광역시 해운대구 센텀남대로,59,null,2.63501E+24,롯데백화점센텀시티점,부산광역시 해운대구 센텀남대로 59,612022,48058,,5,,129.1310993,35.1698729
MA010120220805430814,리스트,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2.64401E+18,1,대지,3438,null,부산광역시 강서구 명지동 3438,2.64403E+11,부산광역시 강서구 명지국제6로,168,null,2.64401E+24,스타필드시티명지점,부산광역시 강서구 명지국제6로 168,618200,46772,,2,,128.9181743,35.09312519
MA010120220805430900,눈썹그리기교실동안눈썹,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2.63201E+18,1,대지,2272,5,부산광역시 북구 화명동 2272-5,2.63202E+11,부산광역시 북구 화명대로,31,null,2.63201E+24,현호타워,부산광역시 북구 화명대로 31,616852,46525,,null,,129.0116405,35.23521661
MA010120220805430935,카페051남포역점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,26,부산광역시,26110,중구,26110580,남포동,2611013700,남포동2가,2.61101E+18,1,대지,1,5,부산광역시 중구 남포동2가 1-5,2.61104E+11,부산광역시 중구 남포길,47,null,2.61101E+24,,부산광역시 중구 남포길 47,600042,48954,,1,,129.0338749,35.09803496
MA010120220805430948,안심공인중개사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,26,부산광역시,26470,연제구,26470730,연산9동,2647010200,연산동,2.64701E+18,1,대지,398,25,부산광역시 연제구 연산동 398-25,2.64704E+11,부산광역시 연제구 연안로13번길,85,null,2.64701E+24,,부산광역시 연제구 연안로13번길 85,611817,47565,,1,,129.1023857,35.18881431
MA010120220805431216,레이카운티강남공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2.64701E+18,1,대지,867,9,부산광역시 연제구 거제동 867-9,2.64703E+11,부산광역시 연제구 금용로,5,null,2.64701E+24,,부산광역시 연제구 금용로 5,611807,47530,,null,,129.0679846,35.18790569
MA010120220805431109,잎새뷰티끄,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2.63501E+18,1,대지,1473,2,부산광역시 해운대구 좌동 1473-2,2.63502E+11,부산광역시 해운대구 해운대로,794,null,2.63501E+24,엘리움,부산광역시 해운대구 해운대로 794,612842,48104,,2,,129.1757619,35.16881666
MA010120220805431249,미래네트워크,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",26,부산광역시,26230,부산진구,26230700,당감4동,2623010900,당감동,2.62301E+18,1,대지,362,16,부산광역시 부산진구 당감동 362-16,2.62304E+11,부산광역시 부산진구 동평로66번길,10,null,2.62301E+24,,부산광역시 부산진구 동평로66번길 10,614879,47177,,null,,129.0364966,35.16473408
MA010120220805431253,오케이도매횟집,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,26,부산광역시,26470,연제구,26470720,연산8동,2647010200,연산동,2.64701E+18,1,대지,384,12,부산광역시 연제구 연산동 384-12,2.64703E+11,부산광역시 연제구 안연로,17,1,2.64701E+24,,부산광역시 연제구 안연로 17-1,611816,47564,,1,,129.1003032,35.18908564
