상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0084499,베트남쌀국수퍼짱,,I2,음식,I205,동남아시아,I20501,베트남식 전문,I56194,김밥 및 기타 간이 음식점업,36,세종특별자치시,36110,세종특별자치시,36110518,나성동,3611010700,나성동,3.61101E+18,1,대지,732,null,세종특별자치시 세종특별자치시 나성동 732,3.61102E+11,세종특별자치시 세종특별자치시 한누리대로,311,null,3.61101E+24,모닝시티2,세종특별자치시 세종특별자치시 한누리대로 311,339003,30123,,1,,127.2558403,36.49206514
MA010120220805431936,책통클럽읽기훈련센타,,P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관,P85699,그 외 기타 분류 안된 교육기관,36,세종특별자치시,36110,세종특별자치시,36110515,새롬동,3611010800,새롬동,3.61101E+18,1,대지,579,null,세종특별자치시 세종특별자치시 새롬동 579,3.61103E+11,세종특별자치시 세종특별자치시 새롬중앙로,62,15,3.61101E+24,해피라움W,세종특별자치시 세종특별자치시 새롬중앙로 62-15,339009,30127,,,,127.251201,36.48701632
MA010120220805434190,더함인테리어컨설팅,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,M73201,인테리어 디자인업,36,세종특별자치시,36110,세종특별자치시,36110360,연서면,3611036033,연서면,3.61104E+18,1,대지,637,3,세종특별자치시 세종특별자치시 연서면 봉암리 637-3,3.61103E+11,세종특별자치시 세종특별자치시 연서면 당산로,294,null,3.61104E+24,,세종특별자치시 세종특별자치시 연서면 당산로 294,339813,30047,,,,127.2787123,36.55918403
MA010120220805432469,모더니엘살롱,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,36,세종특별자치시,36110,세종특별자치시,36110518,나성동,3611010700,나성동,3.61101E+18,1,대지,764,null,세종특별자치시 세종특별자치시 나성동 764,3.61102E+11,세종특별자치시 세종특별자치시 한누리대로,288,null,3.61101E+24,갤러리밸류시티,세종특별자치시 세종특별자치시 한누리대로 288,339003,30128,,2,,127.2570996,36.48992808
MA010120220805435562,카이젠교육,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,36,세종특별자치시,36110,세종특별자치시,36110560,보람동,3611010300,보람동,3.61101E+18,1,대지,760,null,세종특별자치시 세종특별자치시 보람동 760,3.61103E+11,세종특별자치시 세종특별자치시 남세종로,450,null,3.61101E+24,보람빌딩,세종특별자치시 세종특별자치시 남세종로 450,339008,30150,,7,,127.2901057,36.47741275
MA010120220805437826,가재세탁,,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,36,세종특별자치시,36110,세종특별자치시,36110540,종촌동,3611011100,종촌동,3.61101E+18,1,대지,679,null,세종특별자치시 세종특별자치시 종촌동 679,3.61103E+11,세종특별자치시 세종특별자치시 도움3로,159,null,3.61101E+24,가재마을3단지,세종특별자치시 세종특별자치시 도움3로 159,339013,30064,,1,,127.2437487,36.50393027
MA010120220805436870,세종유도관,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85611,태권도 및 무술 교육기관,36,세종특별자치시,36110,세종특별자치시,36110560,보람동,3611010300,보람동,3.61101E+18,1,대지,757,null,세종특별자치시 세종특별자치시 보람동 757,3.61103E+11,세종특별자치시 세종특별자치시 남세종로,462,null,3.61101E+24,위너스타워,세종특별자치시 세종특별자치시 남세종로 462,339008,30150,,,,127.2888274,36.47685539
MA010120220805437034,세종마취과,,Q1,보건의료,Q102,의원,Q10209,기타 의원,Q86201,일반의원,36,세종특별자치시,36110,세종특별자치시,36110250,조치원읍,3611025027,조치원읍,3.61103E+18,1,대지,119,12,세종특별자치시 세종특별자치시 조치원읍 남리 119-12,3.61105E+11,세종특별자치시 세종특별자치시 조치원읍 새내1길,17,null,3.61103E+24,,세종특별자치시 세종특별자치시 조치원읍 새내1길 17,339802,30028,,,,127.2983628,36.59617881
MA010120220805437036,위스콘신이케이어학원,,P1,교육,P106,기타 교육,P10615,외국어학원,P85631,외국어학원,36,세종특별자치시,36110,세종특별자치시,36110530,아름동,3611011300,아름동,3.61101E+18,1,대지,1344,null,세종특별자치시 세종특별자치시 아름동 1344,3.61103E+11,세종특별자치시 세종특별자치시 달빛1로,131,null,3.61101E+24,,세종특별자치시 세종특별자치시 달빛1로 131,339011,30100,,,,127.2459232,36.51107266
MA010120220805439448,세종종합법률사무소,,M1,과학·기술,M103,법무관련 ,M10301,변호사,M71101,변호사업,36,세종특별자치시,36110,세종특별자치시,36110518,나성동,3611010700,나성동,3.61101E+18,1,대지,809,null,세종특별자치시 세종특별자치시 나성동 809,3.61103E+11,세종특별자치시 세종특별자치시 나성북로,30,null,3.61101E+24,퍼스트원,세종특별자치시 세종특별자치시 나성북로 30,339003,30128,,3,,127.2602441,36.48906442
