상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0008597,엠엠디커피,,I2,음식,I212,비알코올 ,I21201,카페,I56111,한식 일반 음식점업,31,울산광역시,31110,중구,31110585,중앙동,3111010600,성남동,3.11101E+18,1,대지,234,1,울산광역시 중구 성남동 234-1,3.11104E+11,울산광역시 중구 만남의거리,2,null,3.11101E+24,,울산광역시 중구 만남의거리 2,681812,44532,,1,,129.3202671,35.5549016
MA0101202210A0013658,씨유대공원센트럴하임점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,31,울산광역시,31140,남구,31140600,옥동,3114010200,옥동,3.11401E+18,1,대지,1404,7,울산광역시 남구 옥동 1404-7,3.11403E+11,울산광역시 남구 문수로,373,null,3.11401E+24,한국이동통신,울산광역시 남구 문수로 373,680844,44648,,1,,129.2944093,35.53469519
MA010120220805430825,해국수달치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31200,북구,31200520,농소2동,3120010600,중산동,3.12001E+18,1,대지,1322,1,울산광역시 북구 중산동 1322-1,3.12005E+11,울산광역시 북구 신기4길,45,null,3.12001E+24,,울산광역시 북구 신기4길 45,683450,44215,,1,,129.3538363,35.65030103
MA010120220805430975,이가,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,31,울산광역시,31710,울주군,31710256,온양읍,3171025624,온양읍,3.17103E+18,1,대지,171,15,울산광역시 울주군 온양읍 남창리 171-15,3.17104E+11,울산광역시 울주군 온양읍 남창2길,28,null,3.17103E+24,,울산광역시 울주군 온양읍 남창2길 28,689902,44974,,null,,129.2821562,35.41725758
MA010120220805431074,황금참치,,I2,음식,I203,일식,I20301,일식 회/초밥,I56114,한식 해산물 요리 전문점,31,울산광역시,31200,북구,31200510,농소1동,3120010200,호계동,3.12001E+18,1,대지,279,1,울산광역시 북구 호계동 279-1,3.12004E+11,울산광역시 북구 동대15길,20,null,3.12001E+24,,울산광역시 북구 동대15길 20,683812,44227,,null,,129.3537019,35.62859044
MA010120220805431218,더힐요가&기구필라테스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,31,울산광역시,31170,동구,31170590,남목2동,3117010800,서부동,3.11701E+18,1,대지,181,6,울산광역시 동구 서부동 181-6,3.11702E+11,울산광역시 동구 방어진순환도로,941,null,3.11701E+24,,울산광역시 동구 방어진순환도로 941,682808,44030,,7,,129.4328309,35.52508139
MA010120220805431269,간절곶식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,31,울산광역시,31710,울주군,31710310,서생면,3171031025,서생면,3.17103E+18,1,대지,271,null,울산광역시 울주군 서생면 대송리 271,3.17104E+11,울산광역시 울주군 서생면 간절곶2길,3,null,3.17103E+24,,울산광역시 울주군 서생면 간절곶2길 3,689883,45015,,null,,129.3553958,35.36117945
MA010120220805431359,티에이치엑스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,31,울산광역시,31140,남구,31140595,무거동,3114010100,무거동,3.11401E+18,1,대지,485,4,울산광역시 남구 무거동 485-4,3.11404E+11,울산광역시 남구 옥현로46번길,9,8,3.11401E+24,,울산광역시 남구 옥현로46번길 9-8,680808,44614,,1,,129.2622923,35.54056071
MA010120220805431416,태화강열쇠,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,31,울산광역시,31110,중구,31110520,반구1동,3111011800,반구동,3.11101E+18,1,대지,880,8,울산광역시 중구 반구동 880-8,3.11104E+11,울산광역시 중구 반구정17길,12,1,3.11101E+24,화전아파트,울산광역시 중구 반구정17길 12-1,681808,44498,,5,,129.3474032,35.55974783
MA010120220805432118,샤라,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,31,울산광역시,31110,중구,31110585,중앙동,3111010500,옥교동,3.11101E+18,1,대지,95,2,울산광역시 중구 옥교동 95-2,3.11104E+11,울산광역시 중구 젊음의거리,96,null,3.11101E+24,,울산광역시 중구 젊음의거리 96,681190,44531,,null,,129.3226587,35.55411829
MA010120220805432236,세컨페이스,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,31,울산광역시,31710,울주군,31710259,범서읍,3171025927,범서읍,3.17103E+18,1,대지,716,5,울산광역시 울주군 범서읍 구영리 716-5,3.17104E+11,울산광역시 울주군 범서읍 점촌2길,2,null,3.17103E+24,,울산광역시 울주군 범서읍 점촌2길 2,689852,44924,,1,,129.2406489,35.57586452
MA010120220805433675,참사랑홈파티스스튜디오,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",31,울산광역시,31200,북구,31200580,양정동,3120012400,양정동,3.12001E+18,1,대지,606,2,울산광역시 북구 양정동 606-2,3.12004E+11,울산광역시 북구 양정6길,43,1,3.12001E+24,,울산광역시 북구 양정6길 43-1,683380,44260,,1,,129.3861584,35.5422108
MA010120220805433924,든든카워시울산출장세차,,S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장,S95213,자동차 세차업,31,울산광역시,31110,중구,31110620,병영1동,3111011500,남외동,3.11101E+18,1,대지,1000,14,울산광역시 중구 남외동 1000-14,3.11104E+11,울산광역시 중구 해오름12길,17,null,3.11101E+24,,울산광역시 중구 해오름12길 17,681800,44507,,null,,129.3439929,35.56424734
MA010120220805432775,핸즈수선,,S2,수리·개인,S206,기타 가정용품 수리,S20601,의류/이불 수선업,S95391,의복 및 기타 가정용 직물제품 수리업,31,울산광역시,31170,동구,31170560,전하2동,3117010400,전하동,3.11701E+18,1,대지,673,20,울산광역시 동구 전하동 673-20,3.11704E+11,울산광역시 동구 진성15가길,13,null,3.11701E+24,,울산광역시 동구 진성15가길 13,682817,44049,,1,,129.4241576,35.50717616
MA010120220805432532,스타공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,31,울산광역시,31170,동구,31170510,방어동,3117010100,방어동,3.11701E+18,1,대지,1162,18,울산광역시 동구 방어동 1162-18,3.11703E+11,울산광역시 동구 화문로,15,null,3.11701E+24,,울산광역시 동구 화문로 15,682831,44093,,null,,129.4114461,35.48562216
