상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0089715,날으는뚝배기원창점,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,28,인천광역시,28260,서구,28260575,신현원창동,2826011100,원창동,2.82601E+18,1,대지,381,48,인천광역시 서구 원창동 381-48,2.82605E+11,인천광역시 서구 북항로32번안길,41,null,2.82601E+24,건원프라자,인천광역시 서구 북항로32번안길 41,404210,22769,,null,,126.6466844,37.50951759
MA010120220805430815,아기숟가락,,I2,음식,I201,한식,I20105,국수/칼국수,I56194,김밥 및 기타 간이 음식점업,28,인천광역시,28185,연수구,28185850,송도4동,2818510600,송도동,2.81851E+18,1,대지,83,null,인천광역시 연수구 송도동 83,2.81852E+11,인천광역시 연수구 아트센터대로,203,null,2.81851E+24,송도센트럴파크푸르지오시티,인천광역시 연수구 아트센터대로 203,406840,22008,,1,,126.631272,37.39518868
MA010120220805430978,러블리헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,28,인천광역시,28200,남동구,28200551,간석4동,2820010200,간석동,2.82001E+18,1,대지,617,24,인천광역시 남동구 간석동 617-24,2.82002E+11,인천광역시 남동구 경원대로,962,null,2.82001E+24,신원아침도시비,인천광역시 남동구 경원대로 962,405810,21502,,1,,126.6907491,37.46879221
MA010120220805430761,쉐프윤,,I2,음식,I210,기타 간이,I21003,피자,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",28,인천광역시,28177,미추홀구,28177530,숭의4동,2817710100,숭의동,2.81771E+18,1,대지,45,3,인천광역시 미추홀구 숭의동 45-3,2.81773E+11,인천광역시 미추홀구 수봉로,20,null,2.81701E+24,,인천광역시 미추홀구 수봉로 20,402812,22163,,null,,126.656146,37.46437611
MA010120220805430901,The선재로59Street,,I1,숙박,I101,일반 숙박,I10104,캠핑/글램핑,I55109,기타 일반 및 생활 숙박시설 운영업,28,인천광역시,28720,옹진군,28720360,영흥면,2872036023,영흥면,2.87204E+18,1,대지,150,null,인천광역시 옹진군 영흥면 선재리 150,2.87203E+11,인천광역시 옹진군 영흥면 선재로,59,null,2.87204E+24,,인천광역시 옹진군 영흥면 선재로 59,409872,23123,,null,,126.5312734,37.23440589
MA010120220805431363,매드볼릭pt헬스장,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85612,기타 스포츠 교육기관,28,인천광역시,28185,연수구,28185820,송도1동,2818510600,송도동,2.81851E+18,1,대지,8,15,인천광역시 연수구 송도동 8-15,2.81854E+11,인천광역시 연수구 테크노파크로111번길,11,null,2.81851E+24,시카고타워,인천광역시 연수구 테크노파크로111번길 11,406081,21998,,null,,126.6439881,37.38517149
MA010120220805431381,불리다푸드,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,28,인천광역시,28200,남동구,28200690,논현1동,2820011000,논현동,2.82001E+18,1,대지,665,4,인천광역시 남동구 논현동 665-4,2.82003E+11,인천광역시 남동구 소래역동로,12,null,2.82001E+24,,인천광역시 남동구 소래역동로 12,405825,21669,,1,,126.733572,37.40300545
MA010120220805431230,티엠커머스,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,28,인천광역시,28260,서구,28260575,신현원창동,2826011100,원창동,2.82601E+18,1,대지,381,69,인천광역시 서구 원창동 381-69,2.82605E+11,인천광역시 서구 북항로32번안길,50,null,2.82601E+24,모다아울렛인천점,인천광역시 서구 북항로32번안길 50,404210,22769,,1,,126.6477066,37.50990773
MA010120220805431793,해돋이공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,28,인천광역시,28260,서구,28260575,신현원창동,2826010900,신현동,2.82601E+18,1,대지,281,35,인천광역시 서구 신현동 281-35,2.82603E+11,인천광역시 서구 신현로,31,null,2.82601E+24,,인천광역시 서구 신현로 31,404832,22782,,1,,126.6720362,37.51627471
MA010120220805431718,라인스킨케어,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,28,인천광역시,28237,부평구,28237646,삼산1동,2823710500,삼산동,2.82371E+18,1,대지,390,9,인천광역시 부평구 삼산동 390-9,2.82373E+11,인천광역시 부평구 부평북로,467,null,2.82371E+24,삼산주공미래타운아파트,인천광역시 부평구 부평북로 467,403864,21319,,2,,126.7453853,37.52211344
