상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805430976,객사모던수,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,45,전라북도,45111,전주시 완산구,45111510,중앙동,4511111700,고사동,4.51111E+18,1,대지,474,3,전라북도 전주시 완산구 고사동 474-3,4.51115E+11,전라북도 전주시 완산구 전주객사3길,45,null,4.51111E+24,,전라북도 전주시 완산구 전주객사3길 45,560803,54999,,null,,127.1419346,35.81916536
MA010120220805430753,건강한웰빙음료,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,45,전라북도,45190,남원시,45190550,금동,4519010600,금동,4.51901E+18,1,대지,264,1,전라북도 남원시 금동 264-1,4.51903E+11,전라북도 남원시 의총로,51,null,4.51901E+24,공설시장,전라북도 남원시 의총로 51,590980,55768,,null,,127.3758876,35.40461258
MA010120220805430933,지리산흙돼지촌마을,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,45,전라북도,45190,남원시,45190310,주천면,4519031028,주천면,4.51903E+18,1,대지,470,30,전라북도 남원시 주천면 호경리 470-30,4.51903E+11,전라북도 남원시 주천면 정령치로,164,null,4.51903E+24,지리산흙돼지가든,전라북도 남원시 주천면 정령치로 164,590811,55802,,null,,127.4528111,35.38842689
MA010120220805431055,스마일축산정육,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,45,전라북도,45130,군산시,45130703,나운3동,4513014400,나운동,4.51301E+18,1,대지,868,12,전라북도 군산시 나운동 868-12,4.51303E+11,전라북도 군산시 현충로,34,null,4.51301E+24,현대슈퍼,전라북도 군산시 현충로 34,573872,54147,,null,,126.6883966,35.9584176
MA010120220805431206,이화식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,45,전라북도,45130,군산시,45130650,조촌동,4513013400,조촌동,4.51301E+18,1,대지,790,10,전라북도 군산시 조촌동 790-10,4.51303E+11,전라북도 군산시 진포로,155,null,4.51301E+24,대복집,전라북도 군산시 진포로 155,573885,54077,,null,,126.7326894,35.97253852
MA010120220805431413,에이스자동차공업사,,S2,수리·개인,S203,자동차 수리·세차,S20301,자동차 정비소,S95211,자동차 종합 수리업,45,전라북도,45130,군산시,45130720,미성동,4513015100,산북동,4.51302E+18,1,대지,3574,12,전라북도 군산시 산북동 3574-12,4.51305E+11,전라북도 군산시 칠성4길,110,2,4.51302E+24,,전라북도 군산시 칠성4길 110-2,573888,54166,,null,,126.6769738,35.96470009
MA010120220805431493,브이아이피스크린골프,,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,45,전라북도,45190,남원시,45190590,도통동,4519011700,월락동,4.51901E+18,1,대지,131,49,전라북도 남원시 월락동 131-49,4.51903E+11,전라북도 남원시 용성로,348,null,4.51901E+24,,전라북도 남원시 용성로 348,590983,55735,,3,,127.4071557,35.4225455
MA010120220805431588,한뚝수육국밥,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,45,전라북도,45710,완주군,45710253,봉동읍,4571025324,봉동읍,4.57103E+18,1,대지,908,3,전라북도 완주군 봉동읍 둔산리 908-3,4.57103E+11,전라북도 완주군 봉동읍 과학로,997,null,4.57103E+24,,전라북도 완주군 봉동읍 과학로 997,565902,55319,,null,,127.1253694,35.95805369
MA010120220805431614,더블유하우스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,45,전라북도,45140,익산시,45140652,어양동,4514012300,어양동,4.51401E+18,1,대지,65,42,전라북도 익산시 어양동 65-42,4.51403E+11,전라북도 익산시 동서로,504,null,4.51401E+24,윌튼하우스,전라북도 익산시 동서로 504,570210,54567,,1,,126.9886841,35.95279779
MA010120220805431747,어뉴엠전주평화점,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",45,전라북도,45111,전주시 완산구,45111692,평화2동,4511113300,평화동2가,4.51111E+18,1,대지,893,1,전라북도 전주시 완산구 평화동2가 893-1,4.51113E+11,전라북도 전주시 완산구 소대배기로,18,15,4.51111E+24,,전라북도 전주시 완산구 소대배기로 18-15,560871,55126,,1,,127.1322078,35.78656709
