상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805430915,장어나라,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56114,한식 해산물 요리 전문점,50,제주특별자치도,50110,제주시,50110530,이도1동,5011010300,이도일동,5.01101E+18,1,대지,1708,2,제주특별자치도 제주시 이도일동 1708-2,5.01103E+11,제주특별자치도 제주시 중앙로,133,null,5.01101E+24,,제주특별자치도 제주시 중앙로 133,690829,63194,,1,,126.5251579,33.50678171
MA010120220805431730,다방면,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,50,제주특별자치도,50110,제주시,50110250,한림읍,5011025024,한림읍,5.01103E+18,1,대지,884,null,제주특별자치도 제주시 한림읍 한림리 884,5.01103E+11,제주특별자치도 제주시 한림읍 한림중앙로,77,null,5.01103E+24,,제주특별자치도 제주시 한림읍 한림중앙로 77,695932,63028,,null,,126.2669218,33.4081459
MA010120220805432318,첼로,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,50,제주특별자치도,50110,제주시,50110540,이도2동,5011010400,이도이동,5.01101E+18,1,대지,1179,10,제주특별자치도 제주시 이도이동 1179-10,5.01105E+11,제주특별자치도 제주시 광양11길,10,null,5.01101E+24,,제주특별자치도 제주시 광양11길 10,690827,63209,,1,,126.5313128,33.49920048
MA010120220805432327,덕삼당구장,,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,50,제주특별자치도,50110,제주시,50110520,일도2동,5011010200,일도이동,5.01101E+18,1,대지,1030,2,제주특별자치도 제주시 일도이동 1030-2,5.01103E+11,제주특별자치도 제주시 신산로,26,null,5.01101E+24,,제주특별자치도 제주시 신산로 26,690834,63268,,2,,126.5318468,33.51090923
MA010120220805433468,"제주도협재숙소오늘,과일한조각",,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,50,제주특별자치도,50110,제주시,50110250,한림읍,5011025031,한림읍,5.01103E+18,1,대지,1320,3,제주특별자치도 제주시 한림읍 협재리 1320-3,5.01103E+11,제주특별자치도 제주시 한림읍 명재로,32,null,5.01103E+24,,제주특별자치도 제주시 한림읍 명재로 32,695934,63011,,2,,126.25035,33.39455247
MA010120220805434128,씨유서귀라메르점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,50,제주특별자치도,50130,서귀포시,50130540,천지동,5013010100,서귀동,5.01301E+18,1,대지,322,6,제주특별자치도 서귀포시 서귀동 322-6,5.01305E+11,제주특별자치도 서귀포시 중정로5번길,15,null,5.01301E+24,,제주특별자치도 서귀포시 중정로5번길 15,697844,63592,,1,,126.5578588,33.24865246
MA010120220805433972,부동산제주공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,50,제주특별자치도,50130,서귀포시,50130610,중문동,5013011200,중문동,5.01301E+18,1,대지,2330,9,제주특별자치도 서귀포시 중문동 2330-9,5.01305E+11,제주특별자치도 서귀포시 천제연로178번길,26,null,5.01301E+24,,제주특별자치도 서귀포시 천제연로178번길 26,697858,63546,,1,,126.4233841,33.24940947
MA010120220805432530,썬비치펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,50,제주특별자치도,50110,제주시,50110330,우도면,5011033021,우도면,5.01103E+18,1,대지,1290,1,제주특별자치도 제주시 우도면 연평리 1290-1,5.01105E+11,제주특별자치도 제주시 우도면 우도해안길,810,null,5.01103E+24,,제주특별자치도 제주시 우도면 우도해안길 810,695980,63365,,null,,126.9575364,33.51342884
MA010120220805432794,썬가드제주,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",50,제주특별자치도,50110,제주시,50110640,오라동,5011012000,오라이동,5.01101E+18,1,대지,1209,1,제주특별자치도 제주시 오라이동 1209-1,5.01103E+11,제주특별자치도 제주시 연삼로,184,null,5.01101E+24,,제주특별자치도 제주시 연삼로 184,690162,63145,,null,,126.5121532,33.49255268
MA010120220805432736,씨유중문오션힐스점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,50,제주특별자치도,50130,서귀포시,50130610,중문동,5013011400,대포동,5.01301E+18,1,대지,2612,null,제주특별자치도 서귀포시 대포동 2612,5.01305E+11,제주특별자치도 서귀포시 중문관광로301번길,3,null,5.01301E+24,중문오션힐스,제주특별자치도 서귀포시 중문관광로301번길 3,697858,63546,,1,,126.4293068,33.2470321
