상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0047972,우리동네힐링샵,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,44,충청남도,44270,당진시,44270390,송산면,4427039022,송산면,4.42704E+18,1,대지,11,null,충청남도 당진시 송산면 금암리 11,4.42703E+11,충청남도 당진시 송산면 송산로,164,null,4.48304E+24,대상아파트,충청남도 당진시 송산면 송산로 164,343754,31717,,4,,126.6603281,36.92193505
MA0101202210A0096646,진주댁아나고구이,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,44,충청남도,44133,천안시 서북구,44133540,쌍용2동,4413310700,쌍용동,4.41331E+18,1,대지,768,null,충청남도 천안시 서북구 쌍용동 768,4.41335E+11,충청남도 천안시 서북구 쌍용16길,8,null,4.41331E+24,OK자동차정비,충청남도 천안시 서북구 쌍용16길 8,331948,31172,,null,,127.1213244,36.80011396
MA010120220805430836,황산벌스포츠,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,44,충청남도,44230,논산시,44230510,취암동,4423010500,취암동,4.42301E+18,1,대지,372,98,충청남도 논산시 취암동 372-98,4.42305E+11,충청남도 논산시 시민로360번길,7,1,4.42301E+24,,충청남도 논산시 시민로360번길 7-1,320804,32954,,null,,127.0894649,36.19767788
MA010120220805430945,마왕마라탕홍성점,,I2,음식,I202,중식,I20202,마라탕/훠궈,I56121,중식 음식점업,44,충청남도,44800,홍성군,44800250,홍성읍,4480025021,홍성읍,4.48003E+18,1,대지,254,null,충청남도 홍성군 홍성읍 오관리 254,4.48005E+11,충청남도 홍성군 홍성읍 아문길29번길,55,null,4.48003E+24,,충청남도 홍성군 홍성읍 아문길29번길 55,350815,32230,,null,,126.6644817,36.60152134
MA010120220805430960,그라지애,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,44,충청남도,44250,계룡시,44250510,금암동,4425010100,금암동,4.42501E+18,1,대지,143,1,충청남도 계룡시 금암동 143-1,4.42505E+11,충청남도 계룡시 서금암3길,10,null,4.42501E+24,,충청남도 계룡시 서금암3길 10,321900,32827,,null,,127.2560319,36.27188512
MA010120220805431076,스마트공인중개사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,44,충청남도,44230,논산시,44230510,취암동,4423010900,내동,4.42301E+18,1,대지,955,null,충청남도 논산시 내동 955,4.42305E+11,충청남도 논산시 시민로210번길,9,1,4.42301E+24,,충청남도 논산시 시민로210번길 9-1,320804,32989,,null,,127.0982364,36.18619021
MA010120220805431275,히든당구클럽,,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,44,충청남도,44230,논산시,44230510,취암동,4423010900,내동,4.42301E+18,1,대지,631,null,충청남도 논산시 내동 631,4.42303E+11,충청남도 논산시 중앙로,225,null,4.42301E+24,,충청남도 논산시 중앙로 225,320803,32989,,null,,127.1011073,36.18791517
MA010120220805431428,세븐스타코인노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,44,충청남도,44133,천안시 서북구,44133560,백석동,4413310300,백석동,4.41331E+18,1,대지,878,null,충청남도 천안시 서북구 백석동 878,4.41333E+11,충청남도 천안시 서북구 백석3로,131,null,4.41331E+24,빨간빌딩,충청남도 천안시 서북구 백석3로 131,331980,31158,,null,,127.1244596,36.8219813
MA010120220805431608,학암연가,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,I55109,기타 일반 및 생활 숙박시설 운영업,44,충청남도,44825,태안군,44825350,원북면,4482535024,원북면,4.48254E+18,1,대지,515,122,충청남도 태안군 원북면 방갈리 515-122,4.48253E+11,충청남도 태안군 원북면 옥파로,1177,null,4.48254E+24,선창슈퍼민박,충청남도 태안군 원북면 옥파로 1177,357914,32105,,1,,126.2056393,36.89966309
MA010120220805431742,미도정,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,44,충청남도,44200,아산시,44200253,배방읍,4420025324,배방읍,4.42003E+18,1,대지,66,5,충청남도 아산시 배방읍 공수리 66-5,4.42003E+11,충청남도 아산시 배방읍 모산로,165,null,4.42003E+24,,충청남도 아산시 배방읍 모산로 165,336852,31482,,null,,127.0609131,36.77537496
