상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0037302,강학수제주고기국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.31301E+18,1,대지,1258,null,충청북도 충주시 연수동 1258,4.31305E+11,충청북도 충주시 연수서3길,2,null,4.31301E+24,,충청북도 충주시 연수서3길 2,380963,27356,,1,,127.9243965,36.98538325
MA0101202210A0086974,엘beauty&nail,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,43,충청북도,43150,제천시,43150577,신백동,4315012000,신백동,4.31501E+18,1,대지,162,14,충청북도 제천시 신백동 162-14,4.31503E+11,충청북도 제천시 신백로,111,null,4.31501E+24,,충청북도 제천시 신백로 111,390892,27178,,1,,128.2255554,37.13481173
MA010120220805430905,한결이엔지,,M1,과학·기술,M109,기술 서비스,M10999,기타 엔지니어링 서비스업,M72129,기타 엔지니어링 서비스업,43,충청북도,43150,제천시,43150577,신백동,4315012000,신백동,4.31501E+18,1,대지,184,14,충청북도 제천시 신백동 184-14,4.31505E+11,충청북도 제천시 신백로16길,25,null,4.31501E+24,,충청북도 제천시 신백로16길 25,390892,27179,,,,128.2278202,37.13186967
MA010120220805431250,레티컬렉션,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,43,충청북도,43130,충주시,43130571,문화동,4313012700,문화동,4.31301E+18,1,대지,889,null,충청북도 충주시 문화동 889,4.31303E+11,충청북도 충주시 중앙로,36,null,4.31301E+24,,충청북도 충주시 중앙로 36,380956,27408,,,,127.9273853,36.97275975
MA010120220805431268,맘스터치,,I2,음식,I210,기타 간이,I21004,버거,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",43,충청북도,43112,청주시 서원구,43112560,분평동,4311210600,분평동,4.31121E+18,1,대지,1384,null,충청북도 청주시 서원구 분평동 1384,4.31125E+11,충청북도 청주시 서원구 1순환로1107번길,17,null,4.31131E+24,OK빌딩,충청북도 청주시 서원구 1순환로1107번길 17,362857,28799,,1,,127.4892974,36.60709026
MA010120220805431338,이땅애우리한우서충주점,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56111,한식 일반 음식점업,43,충청북도,43130,충주시,43130335,대소원면,4313033531,대소원면,4.31303E+18,1,대지,140,null,충청북도 충주시 대소원면 본리 140,4.31303E+11,충청북도 충주시 대소원면 첨단산업로,192,3,4.31303E+24,,충청북도 충주시 대소원면 첨단산업로 192-3,380871,27467,,2,,127.8361859,36.98827717
MA010120220805431492,오감만족,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113320,옥산면,4311332021,옥산면,4.31133E+18,1,대지,196,8,충청북도 청주시 흥덕구 옥산면 오산리 196-8,4.31133E+11,충청북도 청주시 흥덕구 옥산면 청주역로,667,null,4.37104E+24,,충청북도 청주시 흥덕구 옥산면 청주역로 667,361914,28113,,1,,127.3726365,36.66577848
MA010120220805431505,젊은그대,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,43,충청북도,43130,충주시,43130610,봉방동,4313011500,봉방동,4.31301E+18,1,대지,229,8,충청북도 충주시 봉방동 229-8,4.31303E+11,충청북도 충주시 애향로,63,null,4.31301E+24,,충청북도 충주시 애향로 63,380960,27425,,7,,127.9167376,36.97291497
MA010120220805431865,그냥가면안돼지,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,43,충청북도,43770,음성군,43770253,금왕읍,4377025321,금왕읍,4.37703E+18,1,대지,714,null,충청북도 음성군 금왕읍 무극리 714,4.37705E+11,충청북도 음성군 금왕읍 탑골6길,8,1,4.37703E+24,,충청북도 음성군 금왕읍 탑골6길 8-1,369904,27633,,,,127.5858338,36.98974944
MA010120220805431706,STCO서청주점,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,43,충청북도,43113,청주시 흥덕구,43113760,강서1동,4311313800,비하동,4.31131E+18,1,대지,295,20,충청북도 청주시 흥덕구 비하동 295-20,4.31133E+11,충청북도 청주시 흥덕구 2순환로,1060,null,4.31131E+24,,충청북도 청주시 흥덕구 2순환로 1060,361825,28361,,1,,127.4218486,36.64002776
MA010120220805432031,온오프네일피부,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112500,용정동,4.31111E+18,1,대지,929,null,충청북도 청주시 상당구 용정동 929,4.31115E+11,충청북도 청주시 상당구 호미로202번길,1,null,4.31111E+24,,충청북도 청주시 상당구 호미로202번길 1,360809,28749,,1,,127.5158481,36.62634287
MA010120220805432255,세븐일레븐옥천,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43730,옥천군,43730250,옥천읍,4373025038,옥천읍,4.37303E+18,1,대지,42,7,충청북도 옥천군 옥천읍 삼양리 42-7,4.37303E+11,충청북도 옥천군 옥천읍 삼양로,8,null,4.37303E+24,낚시,충청북도 옥천군 옥천읍 삼양로 8,373809,29033,,,,127.5630549,36.30805451
